id,title,condition,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode,price,currency_id,condicion_item,unico_dueno,control_traccion,aire_acondicionado,cilindros,cilindrada,capacidad_personas,marca,puertas,motor,tipo_combustible,kilometros,modelo
MLA1373125499,Toyota Etios 1.5 4 Ptas Xs 6mt 2017-imolaautos,used,895536-MLA69911513988_062023,MLA8686217,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373125499-toyota-etios-15-4-ptas-xs-6mt-2017-imolaautos-_JM,classified,4500000,ARS,Usado,No,Delantera,Sí,1496 cc,5,Toyota,4,1.5,Nafta,92000 km,Etios,Manual
MLA1374294365,Toyota Etios Platinium Automático 5 Puertas 2018 95.000km,used,966075-MLA70075011390_062023,MLA8962536,gold_premium,https://auto.mercadolibre.com.ar/MLA-1374294365-toyota-etios-platinium-automatico-5-puertas-2018-95000km-_JM,classified,5400000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,95000 km,Etios,Automática
MLA1374145439,Toyota Corolla 2016 1.8 Xei Cvt 140cv No Seg Yaris Vento Eti,used,683364-MLA70085770877_062023,MLA8700861,gold_premium,https://auto.mercadolibre.com.ar/MLA-1374145439-toyota-corolla-2016-18-xei-cvt-140cv-no-seg-yaris-vento-eti-_JM,classified,6539900,ARS,Usado,Sí,Delantera,Sí,1.8 L,4620 mm,5,140 hp,Toyota,4,1.8,Nafta,79000 km
MLA1434501614,Toyota Etios Xsl At 4p Sedan,new,883795-MLA70014479409_062023,MLA21092314,gold_premium,https://auto.mercadolibre.com.ar/MLA-1434501614-toyota-etios-xsl-at-4p-sedan-_JM,classified,5922000,ARS,Nuevo,Delantera,Sí,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios
MLA1373720039,Toyota Etios Xs 1.5 6mt Año 2018 - Liv Motors,used,750770-MLA69983672598_062023,MLA9386128,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373720039-toyota-etios-xs-15-6mt-ano-2018-liv-motors-_JM,classified,4900000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,58000 km,Etios,Manual
MLA1373399457,Toyota Etios X 4p 6mt T.o,new,766228-MLA69966491761_062023,MLA21092468,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373399457-toyota-etios-x-4p-6mt-to-_JM,classified,4838000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Manual
MLA1373372605,Toyota Corolla Seg Cvt Vento 408 2008 Cross Etios Yaris  Hrv,used,726778-MLA69946124260_062023,MLA8806129,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373372605-toyota-corolla-seg-cvt-vento-408-2008-cross-etios-yaris-hrv-_JM,classified,8438900,ARS,Usado,Sí,Delantera,Sí,1.8 L,4620 mm,5,140 hp,Toyota,4,1.8,Nafta,105000 km
MLA1373327391,Toyota Etios Xls Pack 4at 4p J.r,new,648522-MLA69962952381_062023,MLA21092314,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373327391-toyota-etios-xls-pack-4at-4p-jr-_JM,classified,5922000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,0 km,Etios,Automática
MLA1432940480,Toyota Etios X 6mt 5 Puertas D.r,new,661954-MLA69962433545_062023,MLA21092578,gold_premium,https://auto.mercadolibre.com.ar/MLA-1432940480-toyota-etios-x-6mt-5-puertas-dr-_JM,classified,4638000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Manual
MLA1373356593,Toyota Etios Xls Pack 4at 5p T.o,new,887485-MLA69943796110_062023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373356593-toyota-etios-xls-pack-4at-5p-to-_JM,classified,5805000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Automática
MLA1373122973,Toyota Etios 5 Puertas X 6mt J.r,new,978375-MLA69910300272_062023,MLA21092578,gold_premium,https://auto.mercadolibre.com.ar/MLA-1373122973-toyota-etios-5-puertas-x-6mt-jr-_JM,classified,4638000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Manual
MLA1372692667,Toyota Etios Xls 1.5 Pack Mt/6 Año 2023 - Liv Motors,used,953298-MLA69874700193_062023,MLA21092501,gold_premium,https://auto.mercadolibre.com.ar/MLA-1372692667-toyota-etios-xls-15-pack-mt6-ano-2023-liv-motors-_JM,classified,7100000,ARS,Usado,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,3000 km,Etios,Manual
MLA1429945634,Toyota Etios 5p Xls Pack 4at D.r,new,930550-MLA69854007183_062023,MLA21093091,gold_premium,https://auto.mercadolibre.com.ar/MLA-1429945634-toyota-etios-5p-xls-pack-4at-dr-_JM,classified,5805000,ARS,Nuevo,Delantera,1.5 L,4265 mm,5,103 hp,Toyota,5,1.5,Nafta,0 km,Etios,Automática
MLA1428154652,Toyota Etios 1.5 Xs 4 P Lh3 ,used,759530-MLA69763346888_062023,MLA8686217,gold_premium,https://auto.mercadolibre.com.ar/MLA-1428154652-toyota-etios-15-xs-4-p-lh3-_JM,classified,4123000,ARS,Usado,Delantera,1496 cc,4265 mm,5,103 hp,Toyota,4,1.5,Nafta,165000 km,Etios,Manual
